playerId,avatarFile,actionLabel,correctResponse,buffer.thisRepN,buffer.thisTrialN,buffer.thisN,buffer.thisIndex,trialsSb.thisRepN,trialsSb.thisTrialN,trialsSb.thisN,trialsSb.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,textSb.started,textSb.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.998962800018489,None,space,0.2411462999880314,7.9831788999727,None,,,,,,,,,,,,,,,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
,,,,0,0,0,0,,,,,,,,,,,8.240441599977203,None,8.752580799977295,9.76425760006532,9.730285400059074,10.243460200028494,10.225842499989085,10.739515600027516,10.722972100018524,None,,,,,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
,,,,1,0,1,0,,,,,,,,,,,,,11.23768540006131,12.24545930000022,12.211455599986948,12.724210000014864,12.707301900023594,13.222265899996273,13.205644399975426,11.23768540006131,,,,,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
,,,,2,0,2,0,,,,,,,,,,,,,13.720145000028424,14.729442100040615,14.695514200022444,15.208413199987262,15.19151559995953,15.70500069996342,15.688283100025728,13.720145000028424,,,,,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
,,,,3,0,3,0,,,,,,,,,,,,,16.20396489999257,17.209837900009006,17.17602709995117,17.68938530003652,17.671792799956165,18.171069800038822,18.187601699959487,16.20396489999257,,,,,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
,,,,4,0,4,0,,,,,,,,,,,,,18.70270010002423,19.71319909999147,19.67929220001679,20.195076300064102,20.178141899988987,20.67799220001325,20.67799220001325,18.70270010002423,,,,,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
Paul,images/avatar1.jpg,trust,trust,,,,,0,0,0,3,,,,,,,23.251921999966726,None,,,,,,,,,21.36248999997042,None,21.36248999997042,22.365230199997313,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,1,1,12,,,,,,,25.75648490001913,None,,,,,,,,,23.798419200000353,None,23.798419200000353,24.802444800036028,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
Paul,images/avatar1.jpg,defect,defect,,,,,0,2,2,7,,,,,,,28.258305300027132,None,,,,,,,,,26.320526299998164,None,26.320526299998164,27.323094499995932,,001,2020_Feb_03_1314,first_sbtg,3.2.4,58.81719793124358,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.808265100000426,None,28.808265100000426,29.812901200028136,,,,,,,
