playerAn,playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderMin,sliderMax,sliderChoices,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,sbLoop_0.thisRepN,sbLoop_0.thisTrialN,sbLoop_0.thisN,sbLoop_0.thisIndex,sliders_01.thisRepN,sliders_01.thisTrialN,sliders_01.thisN,sliders_01.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_12.started,cB_12.stopped,textInstructions_2.started,textInstructions_2.stopped,keyInstructions_2.keys,keyInstructions_2.started,keyInstructions_2.stopped,out_3.keys,out_3.rt,out_3.started,out_3.stopped,cB.started,cB.stopped,typedWord,displayText.started,displayText.stopped,copyText.started,copyText.stopped,out.keys,out.started,out.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbChoice.response,sbChoice.rt,sbChoice.history,sbChoice.started,sbChoice.stopped,text_6.started,text_6.stopped,cB_9.started,cB_9.stopped,text_7.started,text_7.stopped,totalMoney,paulMoney,lukasMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.rt,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,text_8.started,text_8.stopped,cB_11.started,cB_11.stopped,rating_they.response,rating_they.rt,rating_they.started,rating_they.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.784060399979353,None,22.9544955000747,23.26304460002575,23.26304460002575,23.46632980008144,23.46632980008144,23.56804679997731,23.56804679997731,23.70416900003329,23.70416900003329,23.85733190004248,23.85733190004248,24.012051600031555,24.012051600031555,24.112735599977896,24.112735599977896,24.605870899977162,24.605870899977162,25.116389699978754,25.116389699978754,25.629119800054468,25.61232569999993,26.12131890002638,26.104440800030716,26.25700650003273,26.839506300049834,None,27.028112399973907,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6797231999225914,26.839506300049834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.73920100007672,None,27.73920100007672,None,27.73920100007672,None,5,0.901,"[('5', 0.0), ('5', 0.901)]",0.012793940142728388,None,27.73920100007672,None,28.6504473000532,None,28.6504473000532,None,5,5,0,31.673941100016236,None,31.673941100016236,None,1,0.4739244000520557,31.673941100016236,None,32.16431250004098,None,32.335884000058286,32.94840510003269,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.22238370007835,None,33.22238370007835,None,33.22238370007835,None,5,1.034,"[('5', 0.0), ('5', 1.034)]",0.00995815999340266,None,33.22238370007835,None,34.262064500013366,None,34.262064500013366,None,10,5,5,35.28780170006212,None,35.28780170006212,None,1,0.30527400004211813,35.28780170006212,None,35.60943910002243,None,35.77831109997351,36.39202130003832,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.68045029998757,None,36.68045029998757,None,36.68045029998757,None,5,0.709,"[('5', 0.0), ('5', 0.709)]",0.006693880073726177,None,36.68045029998757,None,37.39677900006063,None,37.39677900006063,None,15,10,5,39.425741699989885,None,39.425741699989885,None,1,0.33769269997719675,39.425741699989885,None,39.78004410001449,None,39.950193500029854,40.56411330006085,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.81976720003877,None,40.81976720003877,None,40.81976720003877,None,5,0.658,"[('5', 0.0), ('5', 0.657)]",0.010145539999939501,None,40.81976720003877,None,41.483689600019716,None,41.483689600019716,None,20,10,10,45.5159910999937,None,45.5159910999937,None,1,0.3395039999159053,45.5159910999937,None,45.87177840003278,None,46.04167289996985,46.65558450005483,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.97966810001526,None,46.97966810001526,None,46.97966810001526,None,5,1.202,"[('5', 0.0), ('5', 1.202)]",0.006043419940397143,None,46.97966810001526,None,48.19074880005792,None,48.19074880005792,None,25,15,10,50.21509559999686,None,50.21509559999686,None,1,0.3733885999536142,50.21509559999686,None,50.605305499979295,None,50.77616660005879,51.391336300061084,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.64727469999343,None,51.64727469999343,None,51.64727469999343,None,5,0.489,"[('5', 0.0), ('5', 0.489)]",0.009729639976285398,None,51.64727469999343,None,52.14358390006237,None,52.14358390006237,None,30,15,15,53.168515800032765,None,53.168515800032765,None,1,1.1033881000475958,53.168515800032765,None,54.28919769998174,None,54.460155999986455,55.07230960007291,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.362970200018026,None,55.362970200018026,None,55.362970200018026,None,5,0.56,"[('5', 0.0), ('5', 0.56)]",0.010518479975871742,None,55.362970200018026,None,55.92681299999822,None,55.92681299999822,None,35,20,15,56.95051670004614,None,56.95051670004614,None,1,0.45786059997044504,56.95051670004614,None,57.42488160007633,None,57.59523780003656,58.2068979999749,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,3,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.464210900012404,None,58.464210900012404,None,58.464210900012404,None,5,0.59,"[('5', 0.0), ('5', 0.59)]",0.010181739926338196,None,58.464210900012404,None,59.06038779998198,None,59.06038779998198,None,40,20,20,64.09036859998014,None,64.09036859998014,None,1,0.3553500999696553,64.09036859998014,None,64.46210690005682,None,64.63586869998835,65.24493380007334,,,,,,,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,1,How much do you like,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55507270002272,None,7,1.365,0.016747620073147118,None,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,2,How much do you want to continue playing with,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,3,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.98361690004822,None,7,4.668,0.013353360001929104,None,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,3,How much do you like,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,3,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.68866910005454,None,7,1.335,0.0011261398904025555,None,,001,2020_Feb_27_1200,so_be_u_00,3.2.4,57.83281920575466,
