playerId,avatarFile,actionLabel,correctResponse,buffer.thisRepN,buffer.thisTrialN,buffer.thisN,buffer.thisIndex,trialsSb.thisRepN,trialsSb.thisTrialN,trialsSb.thisN,trialsSb.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,textSb.started,textSb.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.02145440003369,None,return,3.4385241999989375,7.013913400005549,None,,,,,,,,,,,,,,,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
,,,,0,0,0,0,,,,,,,,,,,10.469339199946262,None,10.98447549995035,11.993770399945788,11.959873800049536,12.473129200050607,12.456458800006658,12.968080000020564,12.968080000020564,None,,,,,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
,,,,1,0,1,0,,,,,,,,,,,,,13.467129399999976,14.47620180004742,14.44222379999701,14.95174239994958,14.95174239994958,15.465183799969964,15.448185999994166,13.467129399999976,,,,,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
,,,,2,0,2,0,,,,,,,,,,,,,15.959039199980907,16.964142599957995,16.930287400027737,17.44573959999252,17.428798499982804,17.941487699979916,17.941487699979916,15.959039199980907,,,,,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
,,,,3,0,3,0,,,,,,,,,,,,,18.454364700010046,19.462712300010026,19.428674199967645,19.94204770005308,19.925083599984646,20.437548400019296,20.437548400019296,18.454364700010046,,,,,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
,,,,4,0,4,0,,,,,,,,,,,,,20.9496410000138,21.958233200013638,21.924170200014487,22.43699389998801,22.420472800033167,22.93185980000999,22.93185980000999,20.9496410000138,,,,,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,0,0,19,,,,,,,25.469594500027597,None,,,,,,,,,23.56542170001194,None,23.56542170001194,24.569668899988756,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,1,1,10,,,,,,,27.971870200010017,None,,,,,,,,,25.998474200023338,None,25.998474200023338,27.002520099980757,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
Paul,images/avatar1.jpg,trust,trust,,,,,0,2,2,5,,,,,,,30.47891810000874,None,,,,,,,,,28.576793299987912,None,28.576793299987912,29.57873730000574,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,3,3,14,,,,,,,32.98419460002333,None,,,,,,,,,31.012120599974878,None,31.012120599974878,32.013636699994095,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,4,4,13,,,,,,,35.471419199951924,None,,,,,,,,,33.49849459994584,None,33.49849459994584,34.50220999994781,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
Paul,images/avatar1.jpg,defect,defect,,,,,0,5,5,8,,,,,,,37.977944800048135,None,,,,,,,,,36.040456800023094,None,36.040456800023094,37.04222950001713,,001,2020_Feb_03_1316,first_sbtg,3.2.4,58.28850949238726,
