playerId,avatarFile,actionLabel,correctResponse,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,cB_7.started,cB_7.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbKey.keys,sbKey.rt,sbKey.started,sbKey.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.196292699998594,None,6.196292699998594,None,return,0.06993299999885494,8.176973499997985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,,,,,,,,,,,,,,,,,8.262805599995772,None,8.262805599995772,None,c,1.82508119999693,10.244391799998994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08617509999749,None,12.08617509999749,None,c,1.3662600000025122,14.06821040000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45077169999422,None,15.45077169999422,16.458293499999854,16.424116800000775,16.934920699997747,16.934920699997747,17.446092899997893,17.429117299994687,17.942574499997136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.959604700001364,None,17.959604700001364,18.96716369999922,18.93318929999805,19.446058199995605,19.429105899995193,19.943447099998593,19.943447099998593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.454735899998923,None,20.454735899998923,21.461596099994495,21.427636299995356,21.938499500000034,21.938499500000034,22.451752499997383,22.434626199996273,22.94487609999487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.963758799996867,None,22.963758799996867,23.970375799995963,23.936448499996914,24.450306300001102,24.43310489999567,24.944257199997082,24.944257199997082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.45804269999644,None,25.45804269999644,26.464560499996878,26.43110859999433,26.941647299994656,26.941647299994656,27.453892499994254,27.436928199997055,27.948142199995345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.965074699997786,None,28.134779799998796,28.441644599995925,28.441644599995925,28.647278399999777,28.647278399999777,28.74895689999539,28.74895689999539,28.884734799998114,28.884734799998114,29.038135099995998,29.038135099995998,29.19096770000033,29.19096770000033,29.29275599999528,29.29275599999528,29.788159600000654,29.788159600000654,30.299524099995324,30.299524099995324,30.81215130000055,30.795198599997093,31.304970199998934,31.287952899998345,31.440961699998297,31.457913499994902,None,31.629776499998115,None,c,5.917270099998859,33.437832399999024,None,,,,,,,,,,,,,,,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
Paul,images/avatar1.jpg,trust,trust,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.37172429999919,None,42.10221509999974,None,42.10221509999974,None,42.10221509999974,None,left,5.609927099998458,42.10221509999974,None,47.72897959999682,None,,001,2020_Feb_21_1344,so_be_u_00,3.2.4,59.330878220511046,
