playerId,avatarFile,choiceLabel,actionLabel,actionRound,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,Slider.response,Slider.rt,Slider.history,Slider.started,Slider.stopped,cB_9.started,cB_9.stopped,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.rt,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,fixCross.started,fixCross.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,rating_5.response,rating_5.rt,rating_5.started,rating_5.stopped,rating_6.response,rating_6.rt,rating_6.started,rating_6.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Paul,images/avatar1.jpg,keep the investment,0,1,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.151489500014577,None,24.151489500014577,None,24.151489500014577,None,4,1.023,"[('5', 0.0), ('4', 0.477), ('4', 1.023)]",0.01237372006289661,None,25.18836160004139,None,25.700797400029842,None,25.700797400029842,None,None,,25.700797400029842,None,27.699208200036082,None,27.86812760005705,28.379216700035613,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67001340002753,None,28.67001340002753,None,28.67001340002753,None,3,0.924,"[('5', 0.0), ('4', 0.478), ('3', 0.651), ('3', 0.924)]",0.0016051199636422098,None,29.605202700011432,None,30.134306400024798,None,30.134306400024798,None,None,,30.134306400024798,None,32.11176840000553,None,32.28345140005695,32.79503170005046,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.067907400021795,None,33.067907400021795,None,33.067907400021795,None,3,0.979,"[('5', 0.0), ('4', 0.536), ('3', 0.739), ('3', 0.979)]",0.0037882900796830654,None,34.05662740004482,None,34.584458800032735,None,34.584458800032735,None,None,,34.584458800032735,None,36.56788600003347,None,36.73740710003767,37.24929050001083,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53813190001529,None,37.53813190001529,None,37.53813190001529,None,5,0.445,"[('5', 0.0), ('5', 0.445)]",0.0037260199896991253,None,37.99840120004956,None,38.52507500001229,None,38.52507500001229,None,1,1.3324911000090651,38.52507500001229,None,39.87406080000801,None,40.04659440001706,40.556809000030626,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.83288490003906,None,40.83288490003906,None,40.83288490003906,None,5,1.293,"[('5', 0.0), ('5', 1.293)]",0.01648511999519542,None,42.14019380003447,None,42.6528832000331,None,42.6528832000331,None,None,,42.6528832000331,None,44.64617810002528,None,44.81550300004892,45.328502500022296,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.58575710002333,None,45.58575710002333,None,45.58575710002333,None,5,0.53,"[('5', 0.0), ('5', 0.53)]",0.001089960045646876,None,46.12917070003459,None,46.64524890005123,None,46.64524890005123,None,None,,46.64524890005123,None,48.632948800048325,None,48.803446700039785,49.31503950001206,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.55410500004655,None,49.55410500004655,None,49.55410500004655,None,5,0.688,"[('5', 0.0), ('5', 0.688)]",0.002912330033723265,None,50.25373050000053,None,50.764423400047235,None,50.764423400047235,None,None,,50.764423400047235,None,52.76092270005029,None,52.9307100000442,53.44301370001631,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.67975460004527,None,53.67975460004527,None,53.67975460004527,None,5,0.432,"[('5', 0.0), ('5', 0.431)]",0.0029603299917653203,None,54.12242010002956,None,54.64921740000136,None,54.64921740000136,None,None,,54.64921740000136,None,56.626553900016006,None,56.79549270001007,57.30965820001438,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.547434800013434,None,57.547434800013434,None,57.547434800013434,None,5,0.584,"[('5', 0.0), ('5', 0.584)]",0.0016317300614900887,None,58.144609300012235,None,58.657591100025456,None,58.657591100025456,None,None,,58.657591100025456,None,60.651214300014544,None,60.82430890004616,61.333318100019824,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.571658800006844,None,61.571658800006844,None,61.571658800006844,None,5,0.704,"[('5', 0.0), ('5', 0.704)]",0.0028190300217829645,None,62.287289900006726,None,62.7980548000196,None,62.7980548000196,None,None,,62.7980548000196,None,64.79187140002614,None,64.96238340000855,65.47668370004976,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7149889000575,None,65.7149889000575,None,65.7149889000575,None,5,0.585,"[('5', 0.0), ('5', 0.585)]",0.002377629978582263,None,66.31167950003874,None,66.82373240002198,None,66.82373240002198,None,None,,66.82373240002198,None,68.82139520003693,None,68.98992560000625,69.50096230005147,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.73997120000422,None,69.73997120000422,None,69.73997120000422,None,5,1.758,"[('5', 0.0), ('4', 0.923), ('5', 1.332), ('5', 1.758)]",0.0013945300015620887,None,71.51127110002562,None,72.0221850000089,None,72.0221850000089,None,None,,72.0221850000089,None,74.02680760005023,None,74.20068820001325,74.7110749000567,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,0,0,0,0,0,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9344680000213,None,74.9344680000213,None,74.9344680000213,None,4,1.462,"[('5', 0.0), ('4', 1.002), ('4', 1.462)]",0.014288359961938113,None,76.41040810005507,None,76.92087070003618,None,76.92087070003618,None,None,,76.92087070003618,None,78.91640690003987,None,79.08703640004387,79.59876550000627,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.90537610003958,None,79.90537610003958,None,79.90537610003958,None,7,1.052,"[('5', 0.0), ('6', 0.66), ('7', 0.867), ('7', 1.052)]",0.014919549983460456,None,80.96329750004224,None,81.49054870003602,None,81.49054870003602,None,None,,81.49054870003602,None,83.4691984000383,None,83.64020100003108,84.1524475000333,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,0,0,0,0,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.40780400001677,None,84.40780400001677,None,84.40780400001677,None,7,1.098,"[('5', 0.0), ('6', 0.72), ('7', 0.909), ('7', 1.098)]",0.004675160045735538,None,85.51844690000871,None,86.03478530002758,None,86.03478530002758,None,None,,86.03478530002758,None,88.0242812000215,None,88.1951935000252,88.70774240000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99763210001402,None,88.99763210001402,None,88.99763210001402,None,4,0.699,"[('5', 0.0), ('4', 0.409), ('4', 0.699)]",0.0028985199751332402,None,89.7123398000258,None,90.24008810002124,None,90.24008810002124,None,None,,90.24008810002124,None,92.21871630003443,None,92.38879410002846,92.90058750001481,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.18140590004623,None,93.18140590004623,None,93.18140590004623,None,3,1.016,"[('5', 0.0), ('4', 0.556), ('3', 0.728), ('3', 1.016)]",0.010574120038654655,None,94.21156760002486,None,94.73939780000364,None,94.73939780000364,None,None,,94.73939780000364,None,96.71669330005534,None,96.88807440001983,97.39954890002264,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,keep the investment,0,1,,,,,0,0,0,0,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.67639330000384,None,97.67639330000384,None,97.67639330000384,None,8,1.175,"[('5', 0.0), ('6', 0.578), ('7', 0.766), ('8', 0.92), ('8', 1.175)]",0.013666720071341842,None,98.86548960005166,None,99.39242240000749,None,99.39242240000749,None,None,,99.39242240000749,None,101.37041690002661,None,101.54108180000912,102.05243850004626,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.32451420003781,102.8340175000485,5,11.045,0.011063230049330741,None,None,None,0.011063230049330741,None,None,None,0.011063230049330741,None,None,None,0.011063230049330741,None,None,None,0.011063230049330741,None,None,None,0.011063230049330741,None,,001,2020_Feb_24_1030,so_be_u_00,3.2.4,58.75126535389834,
