playerAn,playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderMin,sliderMax,sliderChoices,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop_0.thisRepN,sbLoop_0.thisTrialN,sbLoop_0.thisN,sbLoop_0.thisIndex,sliders_0.thisRepN,sliders_0.thisTrialN,sliders_0.thisN,sliders_0.thisIndex,buffer_0.thisRepN,buffer_0.thisTrialN,buffer_0.thisN,buffer_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sbLoop_1.thisRepN,sbLoop_1.thisTrialN,sbLoop_1.thisN,sbLoop_1.thisIndex,sliders_1.thisRepN,sliders_1.thisTrialN,sliders_1.thisN,sliders_1.thisIndex,buffer_1.thisRepN,buffer_1.thisTrialN,buffer_1.thisN,buffer_1.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_12.started,cB_12.stopped,textInstructions_2.started,textInstructions_2.stopped,keyInstructions_2.keys,keyInstructions_2.started,keyInstructions_2.stopped,out_3.keys,out_3.rt,out_3.started,out_3.stopped,cB.started,cB.stopped,typedWord,displayText.started,displayText.stopped,copyText.started,copyText.stopped,out.keys,out.started,out.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbChoice.response,sbChoice.rt,sbChoice.history,sbChoice.started,sbChoice.stopped,text_6.started,text_6.stopped,cB_9.started,cB_9.stopped,text_7.started,text_7.stopped,totalMoney,paulMoney,lukasMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,text_8.started,text_8.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.737751699984074,None,20.91046990000177,21.217440100037493,21.217440100037493,21.42258050001692,21.42258050001692,21.509546000044793,21.509546000044793,21.661292299977504,21.661292299977504,21.814874700037763,21.814874700037763,21.96901640004944,21.96901640004944,22.07151939999312,22.07151939999312,22.56453189998865,22.56453189998865,23.079228800022975,23.061834800057113,23.576250300044194,23.559154800022952,24.06784669996705,24.06784669996705,24.22235040005762,24.783490600064397,None,24.97071829997003,None,c,2.436163399950601,26.761465799994767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,24.783490600064397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.34941989998333,None,29.34941989998333,None,29.34941989998333,None,7,1.411,"[('5', 0.0), ('6', 1.02), ('7', 1.21), ('7', 1.411)]",0.008253700099885464,None,29.34941989998333,None,30.769578300067224,None,30.769578300067224,None,7,7,0,35.80203680007253,None,35.80203680007253,None,None,35.80203680007253,None,40.79444189998321,None,40.98194750002585,41.59678330004681,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.853423699969426,None,41.853423699969426,None,41.853423699969426,None,7,1.102,"[('5', 0.0), ('6', 0.505), ('7', 0.814), ('7', 1.102)]",0.009839399950578809,None,41.853423699969426,None,42.960443899966776,None,42.960443899966776,None,14,7,7,46.98645740002394,None,46.98645740002394,None,None,46.98645740002394,None,51.974671000032686,None,52.14578919997439,52.76017440005671,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.98643210006412,None,52.98643210006412,None,52.98643210006412,None,5,0.885,"[('5', 0.0), ('5', 0.885)]",0.014256999944336712,None,52.98643210006412,None,53.88710010005161,None,53.88710010005161,None,19,7,12,58.92215960007161,None,58.92215960007161,None,None,58.92215960007161,None,63.918824600055814,None,64.09089009999298,64.70469210005831,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.99597829999402,None,64.99597829999402,None,64.99597829999402,None,5,1.6,"[('5', 0.0), ('5', 1.6)]",0.010751599911600351,None,64.99597829999402,None,66.5985508000711,None,66.5985508000711,None,24,12,12,66.6320718000643,None,66.6320718000643,None,None,66.6320718000643,None,71.60696670005564,None,71.77959100005683,72.39044940005988,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.64653140003793,None,72.64653140003793,None,72.64653140003793,None,5,0.463,"[('5', 0.0), ('5', 0.463)]",0.002745599951595068,None,72.64653140003793,None,73.12307289999444,None,73.12307289999444,None,29,12,17,78.16038320004009,None,78.16038320004009,None,None,78.16038320004009,None,83.14805129996967,None,83.31906750006601,83.93320650001988,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,1,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.17230930004735,None,84.17230930004735,None,84.17230930004735,None,5,1.351,"[('5', 0.0), ('5', 1.351)]",0.0016691000200808048,None,84.17230930004735,None,85.5351418000646,None,85.5351418000646,None,34,12,22,88.55718979996163,None,88.55718979996163,None,None,88.55718979996163,None,93.54817209998146,None,93.71920649998356,94.33236690005288,,,,,,,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,1,How much do you like Paul?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.63963390002027,None,6,1.067,0.009044099948368967,None,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
,,,,,,2,How much do you want to continue playing with Paul?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.75180299999192,None,6,0.937,0.014108900097198784,None,,001,2020_Feb_27_1100,so_be_u_00,3.2.4,58.676424155334374,
