bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,playerId,avatarFile,choiceLabel,actionLabel,correctResponse,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,Slider.response,Slider.rt,Slider.history,Slider.started,Slider.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,6.707286800003203,None,6.707286800003203,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,1,0.337428999999247,6.707286800003203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,7.061458900003345,None,7.061458900003345,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.37508299999899464,7.061458900003345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45298080000066,None,7.45298080000066,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.28974749999906635,7.45298080000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.758757300005527,None,7.758757300005527,8.762010300000838,8.728033999999752,9.239910300006159,9.239910300006159,9.749728599999798,9.73328500000207,10.243503300000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26050650000252,None,10.4307226000019,10.738816700002644,10.738816700002644,10.94101640000008,10.94101640000008,11.043049100000644,11.043049100000644,11.178905799999484,11.178905799999484,11.33193900000333,11.33193900000333,11.485068000001775,11.485068000001775,11.588890600003651,11.588890600003651,12.079882900005032,12.079882900005032,12.591036800004076,12.591036800004076,13.101385400004801,13.084579800000938,13.594369500002358,13.594369500002358,13.730843500001356,14.274930999999924,None,14.445589200004179,None,None,None,None,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5129746999955387,14.274930999999924,None,,,,,,,,,,,,,,,001,2020_Feb_21_1454,so_be_u_00,3.2.4,59.283605059543774,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.941448000005039,None,14.941448000005039,None,14.941448000005039,None,1,1.813,"[(2.0, 0.0), (1, 1.337), (1, 1.813)]",0.00939304000348784,None,16.759293900002376,None,,,,,,,
