playerId,avatarFile,actionLabel,correctResponse,buffer.thisRepN,buffer.thisTrialN,buffer.thisN,buffer.thisIndex,trialsSb.thisRepN,trialsSb.thisTrialN,trialsSb.thisN,trialsSb.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,text_3.started,text_3.stopped,cross.started,cross.stopped,textInstr.started,textInstr.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,textSb.started,textSb.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.489682200015523,None,space,0.39068790001329035,12.466719800024293,None,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
,,,,0,0,0,0,,,,,,,,,,,14.389441299950704,None,14.389441299950704,None,13.385133899981156,None,14.88489300000947,15.888684200006537,15.854461299953982,16.365739699918777,16.365739699918777,16.874228599946946,16.85723009996582,None,,,,,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,17.37010870000813,18.37467349995859,18.340568599989638,18.85236239992082,18.85236239992082,19.364020899985917,19.347041599918157,17.37010870000813,,,,,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,19.857901999959722,20.864612599951215,20.831064200028777,21.340665100025944,21.340665100025944,21.85285569995176,21.83552179997787,19.857901999959722,,,,,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,22.347335399943404,23.35173729993403,23.317761400016025,23.829559699981473,23.829559699981473,24.337419499992393,24.320476799970493,22.347335399943404,,,,,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,24.83238519995939,25.838945299969055,25.804805899970233,26.316952100023627,26.299954299931414,26.80847129994072,26.80847129994072,24.83238519995939,,,,,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,trust,trust,,,,,0,0,0,6,,,,,,,29.395568499923684,None,29.395568499923684,None,,,,,,,,,,,27.489611699944362,None,27.489611699944362,28.49550509999972,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,defect,defect,,,,,0,1,1,9,,,,,,,31.89474659995176,None,31.89474659995176,None,,,,,,,,,,,29.93995049991645,None,29.93995049991645,30.944690499920398,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,2,2,10,,,,,,,34.39618239994161,None,34.39618239994161,None,,,,,,,,,,,32.47376169997733,None,32.47376169997733,33.47770649997983,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,trust,trust,,,,,0,3,3,4,,,,,,,36.89711439993698,None,36.89711439993698,None,,,,,,,,,,,34.960012599942274,None,34.960012599942274,35.9608427999774,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,4,4,19,,,,,,,39.397409299970604,None,39.397409299970604,None,,,,,,,,,,,37.42678909993265,None,37.42678909993265,38.426990999956615,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,5,5,15,,,,,,,41.901557600009255,None,41.901557600009255,None,,,,,,,,,,,39.907628800021484,None,39.907628800021484,40.9490665999474,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,6,6,16,,,,,,,44.428963999962434,None,44.428963999962434,None,,,,,,,,,,,42.41212170000654,None,42.41212170000654,43.438570600003004,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,7,7,12,,,,,,,46.8950574999908,None,46.8950574999908,None,,,,,,,,,,,44.92011830001138,None,44.92011830001138,45.955731299938634,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,trust,trust,,,,,0,8,8,2,,,,,,,49.39389800000936,None,49.39389800000936,None,,,,,,,,,,,47.47336139995605,None,47.47336139995605,48.476661999942735,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,trust,trust,,,,,0,9,9,1,,,,,,,51.89270089997444,None,51.89270089997444,None,,,,,,,,,,,49.93804359994829,None,49.93804359994829,50.94053929997608,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,10,10,17,,,,,,,54.39164569997229,None,54.39164569997229,None,,,,,,,,,,,52.43629919993691,None,52.43629919993691,53.43934129993431,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,trust,trust,,,,,0,11,11,5,,,,,,,56.88811199995689,None,56.88811199995689,None,,,,,,,,,,,54.968237899942324,None,54.968237899942324,55.97163389995694,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,12,12,18,,,,,,,59.391607300029136,None,59.391607300029136,None,,,,,,,,,,,57.43240649998188,None,57.43240649998188,58.4380000999663,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,13,13,11,,,,,,,61.89138929999899,None,61.89138929999899,None,,,,,,,,,,,59.90100389998406,None,59.90100389998406,60.90440200001467,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,defect,defect,,,,,0,14,14,7,,,,,,,64.39379649993498,None,64.39379649993498,None,,,,,,,,,,,62.454189399955794,None,62.454189399955794,63.457381499931216,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,15,15,13,,,,,,,66.89705040003173,None,66.89705040003173,None,,,,,,,,,,,64.92256259999704,None,64.92256259999704,65.92734249995556,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,defect,defect,,,,,0,16,16,8,,,,,,,69.38569849997293,None,69.38569849997293,None,,,,,,,,,,,67.46072779991664,None,67.46072779991664,68.4672048999928,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Paul,images/avatar1.jpg,trust,trust,,,,,0,17,17,0,,,,,,,71.8907540999353,None,71.8907540999353,None,,,,,,,,,,,69.9481400999939,None,69.9481400999939,70.95307940000203,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,18,18,14,,,,,,,74.3914396999171,None,74.3914396999171,None,,,,,,,,,,,72.43527689995244,None,72.43527689995244,73.43822909996379,,001,2020_Feb_03_1519,first_sbtg,3.2.4,59.139508327994996,
