playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderLabels,sliderMin,sliderMax,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,sliders_1.thisRepN,sliders_1.thisTrialN,sliders_1.thisN,sliders_1.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,Slider.response,Slider.rt,Slider.history,Slider.started,Slider.stopped,cB_9.started,cB_9.stopped,totalMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,fixCross.started,fixCross.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,ratingKey.keys,ratingKey.rt,ratingKey.started,ratingKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Paul,images/avatar1.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,8,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.653350899985526,None,19.653350899985526,None,19.653350899985526,None,5,0.544,"[('5', 0.0), ('5', 0.544)]",0.0159395799273625,None,20.211318199988455,None,0,20.723331200017128,None,20.723331200017128,None,None,20.723331200017128,None,22.718357099976856,None,22.8867559999926,23.3995895999833,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,8,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.670773899997585,None,23.670773899997585,None,23.670773899997585,None,5,0.804,"[('5', 0.0), ('5', 0.804)]",0.0005358100170269608,None,24.48772510001436,None,5,25.017385800019838,None,25.017385800019838,None,None,25.017385800019838,None,26.991563500021584,None,27.16289959999267,27.674719400005415,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,8,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.947635699994862,None,27.947635699994862,None,27.947635699994862,None,5,0.582,"[('5', 0.0), ('5', 0.582)]",0.01666018000105396,None,28.543819000013173,None,10,29.054916900000535,None,29.054916900000535,None,None,29.054916900000535,None,31.049869999988005,None,31.22018579998985,31.73219509999035,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,8,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.023073000018485,None,32.023073000018485,None,32.023073000018485,None,5,0.631,"[('5', 0.0), ('5', 0.631)]",0.01558145001763478,None,32.66870320000453,None,10,33.20004040002823,None,33.20004040002823,None,None,33.20004040002823,None,35.1777111000265,None,35.34836150001502,35.85967690002872,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,8,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.098142999981064,None,36.098142999981064,None,36.098142999981064,None,5,0.584,"[('5', 0.0), ('5', 0.584)]",0.002890970034059137,None,36.693359999975655,None,15,37.22075290000066,None,37.22075290000066,None,None,37.22075290000066,None,39.19820909999544,None,39.368167000007816,39.880970800004434,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,8,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.119181099988054,None,40.119181099988054,None,40.119181099988054,None,5,0.466,"[('5', 0.0), ('5', 0.466)]",0.002531670033931732,None,40.59631280001486,None,20,41.106831300014164,None,41.106831300014164,None,None,41.106831300014164,None,43.10411399998702,None,43.27485829999205,43.78696860000491,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,8,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.02542870002799,None,44.02542870002799,None,44.02542870002799,None,5,0.5,"[('5', 0.0), ('5', 0.5)]",0.0034073699498549104,None,44.53563120000763,None,20,45.064591499976814,None,45.064591499976814,None,None,45.064591499976814,None,47.043440699984785,None,47.21150819998002,47.72399349999614,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,8,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.96217820001766,None,47.96217820001766,None,47.96217820001766,None,5,0.449,"[('5', 0.0), ('5', 0.449)]",0.003077469998970628,None,48.42168889997993,None,20,48.93306930002291,None,48.93306930002291,None,None,48.93306930002291,None,50.92890290002106,None,51.099158700031694,51.61015010002302,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,8,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.849874300009105,None,51.849874300009105,None,51.849874300009105,None,5,1.095,"[('5', 0.0), ('5', 1.095)]",0.0026932700420729816,None,52.95546379999723,None,20,53.46574379998492,None,53.46574379998492,None,None,53.46574379998492,None,55.45906179997837,None,55.62960879999446,56.142221399990376,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,8,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.37938749999739,None,56.37938749999739,None,56.37938749999739,None,5,0.72,"[('5', 0.0), ('5', 0.72)]",0.002967770036775619,None,57.11054540000623,None,20,57.621031899994705,None,57.621031899994705,None,None,57.621031899994705,None,59.616782500001136,None,59.790337099984754,60.29873129999032,,,,,,,,,,,,001,2020_Feb_24_1131,so_be_u_00,3.2.4,58.74784835264682,
