playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderLabels,sliderMin,sliderMax,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,sliders_1.thisRepN,sliders_1.thisTrialN,sliders_1.thisN,sliders_1.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,Slider.response,Slider.rt,Slider.history,Slider.started,Slider.stopped,cB_9.started,cB_9.stopped,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,fixCross.started,fixCross.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Paul,images/avatar1.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,5,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.27623560000211,None,67.27623560000211,None,67.27623560000211,None,5,0.475,"[('5', 0.0), ('5', 0.475)]",0.015428699960466474,None,67.76532790000783,None,68.2793869000161,None,68.2793869000161,None,None,68.2793869000161,None,70.27368699997896,None,70.44287389999954,70.95671329996549,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,5,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.211364399991,None,71.211364399991,None,71.211364399991,None,5,0.587,"[('5', 0.0), ('5', 0.587)]",0.00841420004144311,None,71.80674299999373,None,72.33579410001403,None,72.33579410001403,None,None,72.33579410001403,None,74.31100159999914,None,74.48120589996688,74.9934479999938,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,5,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.23265259998152,None,75.23265259998152,None,75.23265259998152,None,5,9.32,"[('5', 0.0), ('5', 9.319)]",0.0023028499563224614,None,84.56349530001171,None,85.07484600000316,None,85.07484600000316,None,None,85.07484600000316,None,87.06825099996058,None,87.2366046999814,87.7474346999661,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,5,0,15,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.99166579998564,None,87.99166579998564,None,87.99166579998564,None,5,4.627,"[('5', 0.0), ('5', 4.627)]",0.009342600009404123,None,92.63400329998694,None,93.14430300000822,None,93.14430300000822,None,None,93.14430300000822,None,95.13646239996888,None,95.30677530000685,95.82047829998191,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,5,0,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1611085999757,None,96.1611085999757,None,96.1611085999757,None,5,0.897,"[('5', 0.0), ('5', 0.897)]",0.011093950015492737,None,97.06529160001082,None,97.59318029996939,None,97.59318029996939,None,None,97.59318029996939,None,99.56939009996131,None,99.73978790000547,100.25045870000031,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Lukas,images/avatar2.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,5,0,17,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.50905270001385,None,100.50905270001385,None,100.50905270001385,None,5,0.648,"[('5', 0.0), ('5', 0.648)]",0.015264550049323589,None,101.17144910001662,None,101.68840559996897,None,101.68840559996897,None,None,101.68840559996897,None,103.67619919998106,None,103.84887849999359,104.36028239998268,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,5,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.64986649999628,None,104.64986649999628,None,104.64986649999628,None,5,0.773,"[('5', 0.0), ('5', 0.773)]",0.007432999962475151,None,105.43447390000802,None,105.96381939999992,None,105.96381939999992,None,None,105.96381939999992,None,107.9395710999961,None,108.11162430001423,108.62240960000781,,,,,,,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Paul,images/avatar1.jpg,reciprocate,1,1,5,How do you feel?,"negative, positive",1,7,,,,,0,0,0,5,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.94528079999145,None,n,14.805,0.015071399975568056,None,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Paul,images/avatar1.jpg,reciprocate,1,1,6,How activated are you right now?,"low, high",1,7,,,,,0,0,0,5,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.79718429996865,None, ,3.991,0.005991550046019256,None,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Paul,images/avatar1.jpg,reciprocate,1,1,1,How much do you like Paul?,"not at all, very much",1,7,,,,,0,0,0,5,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.88309299998218,None,m,4.899,0.012838250084314495,None,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
Paul,images/avatar1.jpg,reciprocate,1,1,2,How much do you want to continue playing with Paul?,"not at all, very much",1,7,,,,,0,0,0,5,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.86301590001676,None,m,1.931,0.012415149947628379,None,,001,2020_Feb_24_1113,so_be_u_00,3.2.4,59.085207363752055,
