playerId,avatarFile,actionLabel,correctResponse,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,cB_7.started,cB_7.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbKey.keys,sbKey.rt,sbKey.started,sbKey.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.325272299996868,None,6.325272299996868,None,space,0.44473889999790117,8.301584299995739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,,,,,,,,,,,,,,,,,8.763068100000964,None,8.763068100000964,None,c,0.477619199999026,10.74457540000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.238847299995541,None,11.238847299995541,None,c,1.3648271999991266,13.204597299998568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.586083299996972,None,14.586083299996972,15.593399400000635,15.559576100000413,16.0704992999963,16.05380940000032,16.5658431999982,16.5658431999982,17.079503599998134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09654369999771,None,17.09654369999771,18.10269999999582,18.068842399996356,18.578376299999945,18.578376299999945,19.090632999999798,19.07275039999513,19.585819499996433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.602814699996088,None,19.602814699996088,20.612294499995187,20.57818209999823,21.09106420000171,21.07404459999816,21.585621500002162,21.585621500002162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.09606789999816,None,22.09606789999816,23.102765600000566,23.06887419999839,23.581145899996045,23.581145899996045,24.09353739999642,24.076188799997908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5878773000004,None,24.5878773000004,25.5936922999972,25.55978740000137,26.069348099998024,26.069348099998024,26.582316599997284,26.563625499999034,27.074791499995627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09176809999917,None,27.261748500000976,27.569138300001214,27.569138300001214,27.77407339999627,27.77407339999627,27.858956600000965,27.858956600000965,28.0128423999995,28.0128423999995,28.16715870000189,28.16715870000189,28.320129599997017,28.320129599997017,28.421959200000856,28.421959200000856,28.91711149999901,28.91711149999901,29.4295071000015,29.41184929999872,29.925015599998005,29.925015599998005,30.436109700000088,30.41914800000086,30.572652499999094,30.589564099995187,None,30.75951779999741,None,c,4.83197680000012,32.569886600002064,None,,,,,,,,,,,,,,,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
Paul,images/avatar1.jpg,defect,defect,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.419027500000084,None,40.082491900000605,None,40.082491900000605,None,40.082491900000605,None,left,2.736888599996746,40.082491900000605,None,42.83594689999882,None,,001,2020_Feb_21_1346,so_be_u_00,3.2.4,58.68761579855808,
