bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_6.started,cB_6.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,cB_5.started,cB_5.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.385791700002301,None,6.385791700002301,None,space,0.10237770000094315,8.36165130000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
,,,,,,,,,,,,8.480655600000318,None,8.480655600000318,None,c,2.935557799999515,10.460858800001006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
,,,,,,,,,,,,,,,,,,,,13.412931800001388,None,13.412931800001388,None,c,1.3871395000023767,15.3936661000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16.797850599999947,None,16.797850599999947,17.80645260000165,17.77253009999913,18.28742930000226,18.270388299999468,18.781325100000686,18.764316200002213,19.27624360000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,19.310959400001593,None,19.310959400001593,20.32057790000181,20.286732700002176,20.79775420000078,20.78031480000209,21.293345699999918,21.293345699999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,21.806587600000057,None,21.806587600000057,22.815394100001868,22.78149470000062,23.293519099999685,23.276599200002238,23.787689799999498,23.787689799999498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,24.30263940000077,None,24.30263940000077,25.31051210000078,25.276506599999266,25.787956700001814,25.771079300000565,26.284315799999604,26.284315799999604,26.79492079999909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,26.811982800001715,None,26.811982800001715,27.818312300001708,27.78476740000042,28.296708100002434,28.279658200000995,28.79481189999933,28.79481189999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.306371300001047,31.812930700001743,29.477134799999476,29.784277300001122,29.784277300001122,29.98834849999912,29.98834849999912,30.073101699999825,30.073101699999825,30.22710089999964,30.22710089999964,30.37987559999965,30.37987559999965,30.53423230000044,30.53423230000044,30.636084600002505,30.636084600002505,31.132633900000656,31.132633900000656,31.643044600001303,31.6261642999998,32.13694110000142,32.13694110000142,None,32.64650140000231,35.15428620000239,c,32.45450450000135,34.62620130000141,None,,001,2020_Feb_21_1219,so_be_u_00,3.2.4,58.787012302258574,
