playerAn,playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderMin,sliderMax,sliderChoices,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop_0.thisRepN,sbLoop_0.thisTrialN,sbLoop_0.thisN,sbLoop_0.thisIndex,sliders_0.thisRepN,sliders_0.thisTrialN,sliders_0.thisN,sliders_0.thisIndex,buffer_0.thisRepN,buffer_0.thisTrialN,buffer_0.thisN,buffer_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sbLoop_1.thisRepN,sbLoop_1.thisTrialN,sbLoop_1.thisN,sbLoop_1.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_12.started,cB_12.stopped,textInstructions_2.started,textInstructions_2.stopped,keyInstructions_2.keys,keyInstructions_2.started,keyInstructions_2.stopped,out_3.keys,out_3.rt,out_3.started,out_3.stopped,cB.started,cB.stopped,typedWord,displayText.started,displayText.stopped,copyText.started,copyText.stopped,out.keys,out.started,out.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbChoice.response,sbChoice.rt,sbChoice.history,sbChoice.started,sbChoice.stopped,text_6.started,text_6.stopped,cB_9.started,cB_9.stopped,text_7.started,text_7.stopped,totalMoney,paulMoney,lukasMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,text_8.started,text_8.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.003263099933974,None,14.174267999944277,14.480033500003628,14.480033500003628,14.68620859994553,14.68620859994553,14.786486099939793,14.786486099939793,14.92425329994876,14.92425329994876,15.077380700036883,15.077380700036883,15.231146999984048,15.231146999984048,15.335584899992682,15.335584899992682,15.828113900031894,15.828113900031894,16.329580000019632,16.329580000019632,16.83408870000858,16.83408870000858,17.345339599996805,17.328449600026943,17.481373199960217,18.046036100015044,None,18.236230400041677,None,None,20.02505369996652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.9665914999786764,18.046036100015044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16600650001783,None,21.16600650001783,None,21.16600650001783,None,6,1.514,"[('5', 0.0), ('6', 1.051), ('6', 1.514)]",0.005569040076807141,None,21.16600650001783,None,22.68826053000521,None,22.68826053000521,None,6,6,0,22.72086829994805,None,22.72086829994805,None,None,22.72086829994805,None,27.715091199963354,None,27.885024799965322,28.51495069998782,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77508950000629,None,28.77508950000629,None,28.77508950000629,None,8,2.86,"[('5', 0.0), ('6', 2.296), ('7', 2.433), ('8', 2.587), ('8', 2.86)]",0.012351950048469007,None,28.77508950000629,None,31.648317400016822,None,31.648317400016822,None,14,6,8,34.67284449993167,None,34.67284449993167,None,None,34.67284449993167,None,39.666231099981815,None,39.834027000004426,40.44841870001983,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6869307999732,None,40.6869307999732,None,40.6869307999732,None,7,1.524,"[('5', 0.0), ('6', 0.53), ('7', 0.736), ('7', 1.524)]",0.015092960093170404,None,40.6869307999732,None,42.227741300011985,None,42.227741300011985,None,21,6,15,46.25666389998514,None,46.25666389998514,None,None,46.25666389998514,None,51.244812199962325,None,51.41485790000297,52.027954799938016,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
PlayerA,Paul,images/avatar1.jpg,reciprocate,1,0,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.33562859997619,None,52.33562859997619,None,52.33562859997619,None,7,3.477,"[('5', 0.0), ('6', 3.067), ('7', 3.225), ('7', 3.477)]",0.00876885000616312,None,52.33562859997619,None,55.81716370000504,None,55.81716370000504,None,28,13,15,56.84364109998569,None,56.84364109998569,None,None,56.84364109998569,None,61.83277059998363,None,62.005921700038016,62.61877749999985,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.88000909995753,None,62.88000909995753,None,62.88000909995753,None,8,1.401,"[('5', 0.0), ('6', 0.597), ('7', 0.786), ('8', 1.129), ('8', 1.401)]",0.013921190053224564,None,62.88000909995753,None,64.29572479997296,None,64.29572479997296,None,36,13,23,65.32423000002746,None,65.32423000002746,None,None,65.32423000002746,None,70.30894519994035,None,70.47949009994045,71.09183379996102,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
PlayerB,Lukas,images/avatar2.jpg,reciprocate,1,0,,,,,,,,,,1,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3345634000143,None,71.3345634000143,None,71.3345634000143,None,8,1.329,"[('5', 0.0), ('6', 0.612), ('7', 0.92), ('8', 1.061), ('8', 1.329)]",0.011975659988820553,None,71.3345634000143,None,72.67953289998695,None,72.67953289998695,None,44,13,31,73.7060371999396,None,73.7060371999396,None,None,73.7060371999396,None,78.69371310004499,None,78.86441779998131,79.47594269993715,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,1,How much do you like Paul?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.76471649995074,None,7,2.466,0.008935019955970347,None,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,2,How much do you want to continue playing with Paul?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.27484389999881,None,7,1.142,0.014194590039551258,None,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,3,How much do you like Lukas?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.46543740003835,None,7,1.129,0.0004309599753469229,None,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,4,How much do you want to continue playing with Lukas?,not at all,very much,1 2 3 4 5 6 7,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.64593929995317,None,7,1.159,0.01516179007012397,None,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,5,How do you feel?,negative,positive,1 2 3 4 5 6 7,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.85271210002247,None,7,1.149,0.005124459974467754,None,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,6,How activated are you right now?,low,high,1 2 3 4 5 6 7,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04543870000634,None,7,1.973,0.005814259988255799,None,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.02785600000061,None,89.02785600000061,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.03581229993142,90.03581229993142,90.03581229993142,90.03581229993142,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.04343900003005,94.04343900003005,94.04343900003005,94.04343900003005,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0454827999929,99.0454827999929,99.0454827999929,99.0454827999929,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_27_1051,so_be_u_00,3.2.4,58.530977815167745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.17155239998829,None,105.17155239998829,None,105.17155239998829,None,7,1.372,"[('5', 0.0), ('6', 0.86), ('7', 1.102), ('7', 1.372)]",0.004479179973714054,None,105.17155239998829,None,106.55279510002583,None,106.55279510002583,None,,,,,,,,,,,104.06073180004023,None,104.23020839993842,104.84555269998964,,,,,,,,,,,,,
