buffer.thisRepN,buffer.thisTrialN,buffer.thisN,buffer.thisIndex,trialsSb.thisRepN,trialsSb.thisTrialN,trialsSb.thisN,trialsSb.thisIndex,playerId,avatarFile,actionLabel,correctResponse,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.277781800017692,None,space,0.40949159988667816,8.26726710004732,None,,,,,,,,,,,,001,2020_Feb_03_1155,first_sbtg,3.2.4,57.67428448113432,
0,0,0,0,,,,,,,,,,,,,,,8.692572899977677,None,9.192062100046314,10.197535899933428,10.163571999990381,10.677456700010225,10.660449099959806,11.170919099939056,11.170919099939056,None,,001,2020_Feb_03_1155,first_sbtg,3.2.4,57.67428448113432,
1,0,1,0,,,,,,,,,,,,,,,,,11.682824500021525,12.691308400011621,12.654226899961941,13.165462499950081,13.165462499950081,13.67702449997887,13.659940300043672,11.682824500021525,,001,2020_Feb_03_1155,first_sbtg,3.2.4,57.67428448113432,
2,0,2,0,,,,,,,,,,,,,,,,,14.169846400036477,15.176244199974462,15.142090099980123,15.651346900034696,15.651346900034696,16.163730400032364,16.146835800027475,14.169846400036477,,001,2020_Feb_03_1155,first_sbtg,3.2.4,57.67428448113432,
3,0,3,0,,,,,,,,,,,,,,,,,16.657744399970397,17.66331930004526,17.62928470002953,18.14120339998044,18.14120339998044,18.651147300028242,18.63420510001015,16.657744399970397,,001,2020_Feb_03_1155,first_sbtg,3.2.4,57.67428448113432,
4,0,4,0,,,,,,,,,,,,,,,,,19.144134199945256,20.148148000007495,20.113802399951965,20.625131099950522,20.625131099950522,21.13440580002498,21.117199399974197,19.144134199945256,,001,2020_Feb_03_1155,first_sbtg,3.2.4,57.67428448113432,
