playerId,avatarFile,actionLabel,correctResponse,buffer.thisRepN,buffer.thisTrialN,buffer.thisN,buffer.thisIndex,trialsSb.thisRepN,trialsSb.thisTrialN,trialsSb.thisN,trialsSb.thisIndex,colour_background.started,colour_background.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,colour_background_2.started,colour_background_2.stopped,text_3.started,text_3.stopped,fixCross.started,fixCross.stopped,textInstr.started,textInstr.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,textSb.started,textSb.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.432974299998023,None,5.432974299998023,None,a,0.5777082999993581,7.427156300000206,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
,,,,0,0,0,0,,,,,,,,,,,,,11.038560499997402,None,11.038560499997402,11.55040580000059,11.038560499997402,11.55040580000059,10.032978999995976,None,13.03477859999839,14.043640899995808,14.009595600000466,14.517146099999081,14.517146099999081,15.02725669999927,15.010257299996738,None,,,,,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,15.520562099998642,16.526610499997332,16.492978700000094,17.001729800002067,17.001729800002067,17.513816599996062,17.496881099999882,15.520562099998642,,,,,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,18.008719999997993,19.009492500001215,18.97603220000019,19.48506659999839,19.48506659999839,19.995073799997044,19.978184300001885,18.008719999997993,,,,,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,20.487979699995776,21.49235200000112,21.458636299998034,21.968846799994935,21.968846799994935,22.48062619999837,22.463715799996862,20.487979699995776,,,,,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,22.975086499995086,23.98049549999996,23.94665679999889,24.457723399995302,24.457723399995302,24.969845399995393,24.95302399999491,22.975086499995086,,,,,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
Paul,images/avatar1.jpg,trust,trust,,,,,0,0,0,4,,,,,,,,,27.538687599997502,None,27.538687599997502,28.047697099995275,27.538687599997502,28.047697099995275,,,,,,,,,,,25.667807799996808,None,25.667807799996808,26.672076999995625,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
Paul,images/avatar1.jpg,defect,defect,,,,,0,1,1,7,,,,,,,,,31.5415692999959,None,31.5415692999959,32.05508430000191,31.5415692999959,32.05508430000191,,,,,,,,,,,29.600239300001704,None,29.600239300001704,30.606136800000968,,001,2020_Feb_21_1340,first_sbtg,3.2.4,57.83011017229931,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.658034499996575,None,33.658034499996575,34.6606890999974,,,,,,,
